ix,race_id,driver_id,lap,position,time,milliseconds
400471,964,815,52,7,1:38.318,98318
400472,964,815,53,7,1:39.974,99974
400473,964,20,1,4,1:41.368,101368
400474,964,20,2,4,1:38.196,98196
400475,964,20,3,3,1:37.511,97511
400476,964,20,4,3,1:38.030,98030
400477,964,20,5,3,1:37.724,97724
400478,964,20,6,3,1:38.193,98193
400479,964,20,7,3,1:38.488,98488
400480,964,20,8,3,1:38.652,98652
400481,964,20,9,3,1:38.827,98827
400482,964,20,10,2,1:39.165,99165
400483,964,20,11,2,1:38.713,98713
400484,964,20,12,2,1:41.512,101512
400485,964,20,13,4,1:55.967,115967
400486,964,20,14,3,1:36.782,96782
400487,964,20,15,3,1:37.134,97134
400488,964,20,16,3,1:37.210,97210
400489,964,20,17,3,1:37.379,97379
400490,964,20,18,3,1:37.199,97199
400491,964,20,19,3,1:37.293,97293
400492,964,20,20,3,1:37.119,97119
400493,964,20,21,3,1:37.255,97255
400494,964,20,22,3,1:37.350,97350
400495,964,20,23,3,1:37.358,97358
400496,964,20,24,3,1:37.428,97428
400497,964,20,25,3,1:37.491,97491
400498,964,20,26,3,1:37.574,97574
400499,964,20,27,3,1:37.720,97720
400500,964,20,28,2,1:38.403,98403
400501,964,20,29,2,1:39.070,99070
400502,964,20,30,1,1:38.334,98334
400503,964,20,31,1,1:38.737,98737
400504,964,20,32,1,1:38.541,98541
400505,964,20,33,1,1:38.802,98802
400506,964,20,34,1,1:41.294,101294
400507,964,20,35,4,1:53.865,113865
400508,964,20,36,4,1:35.118,95118
400509,964,20,37,4,1:36.011,96011
400510,964,20,38,4,1:36.666,96666
400511,964,20,39,4,1:36.254,96254
400512,964,20,40,4,1:36.224,96224
400513,964,20,41,4,1:36.569,96569
400514,964,20,42,4,1:37.135,97135
400515,964,20,43,4,1:37.418,97418
400516,964,20,44,4,1:37.498,97498
400517,964,20,45,4,1:36.748,96748
400518,964,20,46,4,1:37.552,97552
400519,964,20,47,4,1:37.707,97707
400520,964,20,48,4,1:37.224,97224
400521,964,20,49,4,1:37.710,97710
400522,964,20,50,4,1:38.369,98369
400523,964,20,51,4,1:38.724,98724
400524,964,20,52,4,1:39.201,99201
400525,964,20,53,4,1:39.790,99790
400526,964,817,1,5,1:41.724,101724
400527,964,817,2,5,1:38.820,98820
400528,964,817,3,5,1:39.073,99073
400529,964,817,4,5,1:39.032,99032
400530,964,817,5,5,1:38.818,98818
400531,964,817,6,5,1:39.280,99280
400532,964,817,7,5,1:39.527,99527
400533,964,817,8,5,1:39.183,99183
400534,964,817,9,5,1:39.604,99604
